tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-1.0066,-2.1431,2.3677,0.06,2.3907,0.031623,2.3906,0.0054545,0.025616,0.032669,0.048434,-0.06
-1.0158,-2.1922,2.4162,0,2.3945,0.030822,2.3944,0.0066667,0.027765,0.031431,0.015848,-0.06
-1.0705,-2.1474,2.3994,-0.06,2.3935,0.032699,2.3933,0.0023077,0.026851,0.033949,-0.017688,0.005
-1.0072,-2.1572,2.3808,0.01,2.3941,0.034226,2.3939,-0.0014286,0.025892,0.035487,-0.023167,0.035
-0.9851,-2.137,2.3531,0.01,2.3945,0.035496,2.3944,-0.0046667,0.025005,0.036423,-0.0059689,0
-0.95808,-2.1664,2.3688,0.01,2.3955,0.034731,2.3954,-0.003125,0.024484,0.035725,0.021634,0.01
-0.9802,-2.1867,2.3964,0.03,2.4023,0.034041,2.402,-0.0041176,0.036308,0.034832,0.007889,0.01
-1.0005,-2.1646,2.3846,0.03,2.4057,0.035119,2.4054,-0.0066667,0.038072,0.03548,-0.0031652,-0.015
-1.0146,-2.164,2.39,0,2.4115,0.034868,2.4111,-0.0078947,0.044499,0.034893,0.0035697,-0.035
-1.0355,-2.156,2.3918,-0.04,2.4162,0.041952,2.4158,-0.002,0.048037,0.042993,0.028836,0.005
-1.0312,-2.2199,2.4477,0.01,2.4218,0.047459,2.4212,0.0033333,0.05315,0.048511,0.022286,0.03
-1.0515,-2.1978,2.4363,0.02,2.4271,0.054903,2.4266,0.0071429,0.053106,0.05578,-0.033468,-0.03
-1.0557,-2.1339,2.3808,-0.05,2.4303,0.070136,2.4298,0.016667,0.05447,0.069809,-0.017363,-0.035
-0.99433,-2.1861,2.4016,-0.05,2.4368,0.070576,2.4362,0.022857,0.058492,0.068421,0.0097886,0
-0.97344,-2.1941,2.4003,-0.05,2.4466,0.07108,2.4458,0.024286,0.065202,0.068452,0.0043641,0.035
-1.0502,-2.1695,2.4103,0.02,2.4611,0.07267,2.46,0.027143,0.075471,0.069076,0.054206,0.015
-1.0896,-2.2598,2.5087,-0.02,2.4747,0.074706,2.4734,0.030476,0.083171,0.069891,0.0265,-0.035
-1.0042,-2.2494,2.4633,-0.05,2.4871,0.074418,2.4855,0.029048,0.089692,0.070207,0.0022302,-0.005
-1.0343,-2.2905,2.5132,-0.03,2.4972,0.074642,2.4957,0.029524,0.089733,0.070248,0.020343,0.08
-1.0269,-2.2838,2.504,0.11,2.5095,0.074929,2.5079,0.030952,0.092103,0.069922,0.0089112,0.07
-1.0975,-2.2807,2.531,0.11,2.5264,0.075214,2.5245,0.030476,0.10106,0.070461,-0.012392,0.015
-1.0466,-2.2475,2.4792,0.14,2.5396,0.075182,2.5374,0.03,0.10786,0.07064,-0.02369,0.045
-1.1368,-2.2082,2.4836,0.2,2.5526,0.075844,2.5503,0.031429,0.11133,0.070731,0.027397,-0.035
-1.167,-2.2493,2.534,0.07,2.5692,0.075182,2.5669,0.032857,0.11082,0.069292,0.049784,-0.08
-1.1485,-2.3138,2.5832,0.04,2.5835,0.074514,2.5814,0.034286,0.10793,0.067792,0.057986,0
-1.1725,-2.3765,2.65,0.07,2.6,0.073711,2.598,0.036667,0.10552,0.065524,0.03393,0.02
-1.221,-2.3531,2.6511,0.08,2.6164,0.073872,2.6145,0.037143,0.10168,0.065433,0.00053763,-0.035
-1.221,-2.3531,2.6511,0,2.6258,0.074033,2.624,0.039524,0.1006,0.064146,-0.026913,-0.02
-1.1977,-2.3046,2.5972,0.04,2.6344,0.073743,2.6328,0.04,0.093709,0.063482,-0.0020101,0.015
-1.2554,-2.3304,2.6471,0.03,2.6371,0.076625,2.6357,0.04619,0.090776,0.062648,0.071357,-0.045
-1.253,-2.4367,2.74,-0.05,2.64,0.074354,2.6387,0.044286,0.087177,0.061202,0.03593,-0.015
-1.2174,-2.4312,2.7189,0,2.6403,0.070912,2.639,0.040952,0.08676,0.059322,-0.016237,0.05
-1.1891,-2.4324,2.7075,0.05,2.6454,0.069144,2.6443,0.04,0.07964,0.057793,0.0055424,-0.01
-1.1486,-2.4766,2.73,-0.02,2.6476,0.055763,2.6465,0.03381,0.075403,0.04544,-0.0012656,-0.035
-1.0988,-2.4717,2.705,-0.02,2.6447,0.0564,2.6435,0.034286,0.081284,0.045888,0.0098091,0.01
-1.1148,-2.5135,2.7496,0,2.6403,0.060671,2.639,0.037619,0.087195,0.048775,0.025608,0.025
-1.1498,-2.5049,2.7562,0.03,2.6324,0.066189,2.6308,0.040952,0.093944,0.053283,-0.020963,0.015
-1.1406,-2.4557,2.7077,0.03,2.6225,0.066797,2.6206,0.041429,0.10282,0.053692,-0.053078,-0.035
-1.124,-2.3998,2.65,-0.04,2.6116,0.07098,2.6093,0.046667,0.11185,0.054803,-0.06767,0.035
-0.98146,-2.3778,2.5724,0.1,2.6036,0.07678,2.601,0.051429,0.11905,0.05842,-0.041489,0.055
-0.90468,-2.4023,2.567,0.07,2.5925,0.077613,2.5896,0.052857,0.12562,0.058236,-0.017191,-0.03
-0.80578,-2.4067,2.538,0.04,2.5738,0.076873,2.5705,0.054762,0.13199,0.055283,0.011441,0.025
-0.97532,-2.3993,2.5899,0.12,2.5567,0.077152,2.5532,0.053333,0.13531,0.057126,-0.0033536,0.015
-0.91696,-2.3593,2.5313,0.07,2.5431,0.08226,2.5397,0.044286,0.13328,0.071033,-0.060133,-0.02
-0.94889,-2.2801,2.4697,0.08,2.5226,0.083552,2.5191,0.041905,0.13584,0.074069,-0.021315,0.02
-0.98452,-2.2856,2.4886,0.11,2.5059,0.084825,2.5025,0.039524,0.13327,0.076907,0.0040526,0.03
-1.0257,-2.2555,2.4778,0.14,2.4879,0.084825,2.485,0.039524,0.12296,0.076907,-0.025793,-0.01
-1.0029,-2.2211,2.437,0.09,2.4661,0.084684,2.4637,0.037143,0.11189,0.077984,-0.031518,-0.015
-0.99494,-2.2002,2.4147,0.11,2.4464,0.084684,2.4444,0.034286,0.10225,0.079346,-0.0071918,0.025
-0.98143,-2.215,2.4227,0.14,2.429,0.091183,2.4272,0.028571,0.096062,0.088729,-0.0029854,-0.025
-1.0779,-2.1541,2.4088,0.06,2.4181,0.092967,2.4165,0.017619,0.091519,0.093536,-0.042091,-0.075
-1.0607,-2.0841,2.3385,-0.01,2.4109,0.099762,2.4095,0.0057143,0.084805,0.10206,-0.026402,-0.045
-1.1307,-2.0669,2.3559,-0.03,2.4044,0.10686,2.4031,-0.0047619,0.079533,0.10939,0.04272,-0.065
-1.0994,-2.1603,2.4239,-0.14,2.3938,0.10801,2.3929,-0.017143,0.067146,0.10928,-0.029443,-0.02
-0.98939,-2.0731,2.2971,-0.07,2.3861,0.11121,2.3854,-0.027143,0.059268,0.11051,-0.033774,0.035
-1.103,-2.0823,2.3564,-0.07,2.3821,0.11242,2.3815,-0.03619,0.056054,0.10906,0.042151,0.035
-1.1319,-2.0952,2.3814,0,2.3772,0.11121,2.3767,-0.045238,0.050454,0.1041,-0.023848,0.025
-1.0938,-2.0331,2.3087,-0.02,2.3736,0.10728,2.3731,-0.05381,0.045362,0.095104,-0.039596,-0.015
