tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
0.037985,2.8153,2.8156,0.35,2.7912,0.30085,2.7905,0.29571,0.06474,0.056707,0.035539,0.01
0.037985,2.8153,2.8156,0.28,2.7955,0.29225,2.7948,0.28762,0.062588,0.053095,0.014927,-0.025
-0.0031669,2.8454,2.8454,0.3,2.8054,0.29066,2.8047,0.28619,0.064545,0.052007,-0.0076927,-0.045
0.10801,2.7981,2.8002,0.19,2.8118,0.2857,2.8112,0.28143,0.06211,0.050427,0.013153,0
0.054581,2.8712,2.8717,0.3,2.8233,0.28626,2.8226,0.2819,0.064471,0.050953,0.021266,0.03
0.15225,2.8386,2.8427,0.25,2.8244,0.27854,2.8237,0.27476,0.064101,0.046864,0.010383,0
0.0767,2.8915,2.8925,0.3,2.8307,0.2814,2.8301,0.27762,0.06194,0.047107,-0.017387,-0.01
0.05887,2.8073,2.8079,0.23,2.8367,0.28221,2.8361,0.27857,0.056904,0.046291,-0.0060281,0.015
0.0054396,2.8804,2.8804,0.33,2.8405,0.27894,2.84,0.27524,0.055272,0.046435,0.014526,-0.015
0.031846,2.8368,2.837,0.2,2.8496,0.27894,2.8492,0.27524,0.045181,0.046435,-0.0045116,-0.015
0.06871,2.8706,2.8714,0.3,2.8538,0.27894,2.8536,0.27524,0.038504,0.046435,-0.014526,0.015
0.05887,2.8073,2.8079,0.23,2.8585,0.27515,2.8582,0.2719,0.039594,0.043199,0.021775,0.005
0.028175,2.9148,2.915,0.31,2.8598,0.27335,2.8595,0.27,0.038553,0.043704,0.022786,0.01
-0.024052,2.8534,2.8535,0.25,2.86,0.2701,2.8597,0.26667,0.038485,0.04397,0.01718,0.015
0.065039,2.9486,2.9493,0.34,2.8627,0.27199,2.8625,0.26905,0.035999,0.040854,-0.019451,-0.01
0.080371,2.8135,2.8146,0.23,2.861,0.26757,2.8608,0.26429,0.036364,0.042845,-0.03812,-0.015
0.012195,2.8731,2.8731,0.31,2.8635,0.27167,2.8633,0.2681,0.036807,0.045013,0.017733,0.01
0.074849,2.8491,2.8501,0.25,2.8601,0.26657,2.8599,0.26238,0.037253,0.04826,-0.0081678,-0.035
0.11048,2.8546,2.8567,0.24,2.8631,0.26835,2.8629,0.26429,0.035359,0.047704,0.019195,0.04
-0.015445,2.8884,2.8885,0.33,2.8604,0.26254,2.8601,0.25857,0.036177,0.046614,-0.01062,0.01
0.13075,2.8325,2.8355,0.26,2.8647,0.26651,2.8645,0.26286,0.038596,0.045071,0.012565,-0.025
0.084689,2.9124,2.9136,0.28,2.8635,0.26277,2.8633,0.25905,0.038764,0.045156,0.0038125,-0.01
0.067476,2.8423,2.8431,0.24,2.8643,0.26197,2.864,0.2581,0.037734,0.046002,-0.031935,-0.025
0.14549,2.846,2.8497,0.23,2.8622,0.25985,2.862,0.25619,0.035954,0.044551,0.0074196,0
0.039836,2.8577,2.858,0.24,2.8646,0.25816,2.8644,0.25429,0.036994,0.04567,-0.0065772,-0.015
0.045975,2.8362,2.8366,0.2,2.8582,0.24943,2.858,0.24524,0.032951,0.04665,0.01802,0.045
0.020185,2.8939,2.894,0.33,2.8552,0.24859,2.855,0.24429,0.039323,0.047177,-0.0076,-0.01
0.13013,2.8184,2.8214,0.18,2.854,0.24584,2.8538,0.2419,0.039129,0.044902,-0.011143,-0.03
0.054581,2.8712,2.8717,0.27,2.8544,0.24327,2.8542,0.23905,0.039135,0.04625,0.00053156,0.015
0.045358,2.8221,2.8224,0.21,2.8531,0.24237,2.8529,0.2381,0.039502,0.046435,0.027917,0.01
0.15595,2.9234,2.9276,0.29,2.852,0.23592,2.8518,0.23238,0.038782,0.041702,0.011828,0.005
-0.017296,2.846,2.8461,0.22,2.8555,0.23817,2.8552,0.23429,0.040447,0.043883,-0.051503,-0.04
-0.011157,2.8245,2.8246,0.21,2.8528,0.23657,2.8526,0.23286,0.038194,0.042795,0.01282,0.025
0.054581,2.8712,2.8717,0.27,2.8546,0.23981,2.8543,0.23571,0.038575,0.04523,0.039378,0
-0.028957,2.9032,2.9033,0.21,2.8554,0.24662,2.8551,0.24143,0.038636,0.051603,-0.028276,-0.06
0.052114,2.8147,2.8152,0.15,2.8574,0.2471,2.8571,0.2419,0.03988,0.051635,-0.075773,0
-0.092257,2.7502,2.7518,0.21,2.8584,0.24462,2.8581,0.2381,0.039602,0.057499,0.016229,0.055
-0.045553,2.8473,2.8476,0.26,2.8604,0.23479,2.8601,0.22714,0.04242,0.060921,0.053594,-0.01
0.011579,2.8589,2.859,0.19,2.8652,0.2341,2.8649,0.22619,0.043517,0.061845,-0.0091599,-0.02
0.052731,2.8288,2.8293,0.22,2.8683,0.22959,2.8679,0.22143,0.046165,0.062152,0.0033539,0.01
-0.10145,2.8639,2.8657,0.21,2.8719,0.22766,2.8716,0.21905,0.045416,0.063554,0.039322,0.04
-0.0996,2.9062,2.908,0.3,2.8689,0.22219,2.8685,0.21381,0.043579,0.061925,-0.0038,0.02
-0.094695,2.8565,2.8581,0.25,2.8729,0.22423,2.8726,0.21571,0.045244,0.062735,-0.014099,0
-0.10083,2.878,2.8798,0.3,2.8769,0.22566,2.8766,0.21714,0.044523,0.06294,0.0038,0.05
-0.10145,2.8639,2.8657,0.35,2.8776,0.22456,2.8772,0.21619,0.044547,0.062248,0.010303,-0.025
-0.092844,2.8989,2.9004,0.25,2.8778,0.22166,2.8774,0.21238,0.044684,0.065031,-0.0043249,-0.115
-0.080566,2.8559,2.857,0.12,2.8786,0.22106,2.8783,0.21143,0.043572,0.066128,0.017581,-0.075
0.050293,2.9351,2.9355,0.1,2.8827,0.22019,2.8826,0.21048,0.033889,0.066293,0.032634,0.02
0.021419,2.9222,2.9223,0.16,2.8803,0.21526,2.8801,0.20524,0.038192,0.06653,0,0.035
0.050293,2.9351,2.9355,0.17,2.8817,0.21763,2.8815,0.20762,0.037911,0.066851,-0.011552,0
