tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-2.5101,6.2177,6.7053,0.45,5.9678,0.86157,5.95,0.78182,0.48385,0.37971,-0.073901,0.55
-2.6723,6.0691,6.6314,1,5.9242,0.83038,5.9059,0.74417,0.48591,0.38481,-0.34698,0.34
-2.6233,5.4087,6.0113,1.13,5.8751,0.80035,5.8555,0.70462,0.49953,0.39507,-0.12712,0.165
-2.9451,5.6564,6.3772,1.33,5.8283,0.77412,5.8073,0.67214,0.51265,0.39854,0.056119,-0.015
-3.4453,5.0624,6.1236,1.1,5.7923,0.75161,5.771,0.64667,0.51362,0.39651,-0.22712,-0.11
-3.3833,4.8615,5.9229,1.11,5.7516,0.72776,5.7292,0.6075,0.52357,0.41387,-0.19832,-0.13
-3.5332,4.5071,5.7269,0.84,5.7203,0.70884,5.6977,0.58706,0.52334,0.40949,-0.040365,-0.235
-3.8275,4.4138,5.8422,0.64,5.6932,0.69018,5.6707,0.56444,0.52051,0.40869,-0.1468,-0.31
-3.8085,3.8751,5.4333,0.22,5.6732,0.67318,5.6512,0.54474,0.51293,0.40636,-0.21491,-0.155
-3.7729,3.8806,5.4124,0.33,5.6521,0.66106,5.6304,0.5355,0.50781,0.39767,-0.085122,0.115
-3.4209,3.9997,5.2631,0.45,5.6333,0.65357,5.6119,0.53286,0.50215,0.38779,0.0044814,0
-3.5732,4.0771,5.4213,0.33,5.5641,0.64778,5.5477,0.52143,0.43738,0.39384,-0.0065347,-0.11
-3.5395,3.8775,5.25,0.23,5.5033,0.61048,5.492,0.47952,0.36013,0.38714,-0.12008,-0.04
-3.4185,3.8934,5.1812,0.25,5.4712,0.56741,5.4611,0.44762,0.34067,0.35731,0.0063685,0.03
-3.4283,3.9929,5.2627,0.29,5.4316,0.49532,5.4251,0.40333,0.27204,0.29461,-0.039168,-0.115
-3.3202,3.875,5.1028,0.02,5.4061,0.43406,5.4016,0.35667,0.22614,0.25348,-0.034774,-0.015
-3.2268,4.0691,5.1932,0.26,5.397,0.37333,5.3932,0.32524,0.20834,0.18782,0.054135,0.08
-3.2624,4.0635,5.2111,0.18,5.3919,0.33459,5.3883,0.30238,0.20122,0.14676,0.053543,-0.035
-3.3306,4.1231,5.3003,0.19,5.3841,0.35961,5.3811,0.31381,0.18626,0.17996,0.012434,0.09
-3.349,4.0249,5.236,0.36,5.4025,0.42488,5.3987,0.35381,0.20773,0.24105,-0.029049,0.145
-3.0922,4.2331,5.2422,0.48,5.4161,0.43807,5.4119,0.36619,0.21728,0.24638,0.060657,-0.075
-3.2906,4.2276,5.3573,0.21,5.4553,0.44011,5.4496,0.3681,0.25546,0.24722,0.10992,-0.18
-3.3139,4.3418,5.462,0.12,5.4807,0.43596,5.474,0.36095,0.27628,0.25052,0.0021458,0.125
-3.5253,4.0396,5.3616,0.46,5.5256,0.43483,5.5174,0.35857,0.30883,0.25206,0.079135,0.14
-3.5394,4.3658,5.6203,0.4,5.581,0.43483,5.571,0.35857,0.34331,0.25206,0.13446,-0.17
-3.4362,4.4604,5.6305,0.12,5.6273,0.43056,5.6161,0.34857,0.36263,0.25898,0.062796,0.025
-4.0696,4.0563,5.7459,0.45,5.6709,0.44875,5.6604,0.37524,0.35342,0.2522,-0.0028964,0.12
-3.9664,3.9881,5.6247,0.36,5.696,0.47207,5.6865,0.39714,0.33706,0.2615,-0.027785,0.215
-3.8883,4.1546,5.6903,0.88,5.7183,0.4731,5.7098,0.39952,0.31898,0.25964,0.089371,0.35
-3.771,4.4113,5.8034,1.06,5.7638,0.47291,5.7551,0.39905,0.32532,0.26006,0,-0.145
-3.7999,4.2356,5.6903,0.59,5.83,0.49005,5.82,0.41476,0.35141,0.26744,0.12552,-0.285
-3.194,5.1435,6.0545,0.49,5.8771,0.51184,5.8679,0.43143,0.33705,0.28221,0.12193,-0.205
-3.6972,4.6417,5.9342,0.18,5.9228,0.54399,5.914,0.46286,0.32987,0.29287,0.052704,-0.155
-3.6185,4.9851,6.1599,0.18,5.9516,0.57485,5.9436,0.4981,0.31483,0.29407,0.18627,0.035
-3.8151,5.0219,6.3067,0.25,5.9843,0.58097,5.9778,0.50476,0.28612,0.29475,0.025954,-0.05
-4.0848,4.6798,6.2118,0.08,6.002,0.59664,5.996,0.52095,0.27415,0.29803,-0.13755,0.165
-3.3992,4.9826,6.0316,0.58,6.0147,0.61028,6.0093,0.54381,0.26204,0.2838,-0.2348,0.32
-2.847,4.9868,5.7422,0.72,6.0132,0.61213,6.0077,0.54619,0.26386,0.28319,-0.16551,-0.175
-3.3956,4.579,5.7006,0.23,6.0159,0.61362,6.0106,0.54857,0.25975,0.28175,0.25422,-0.27
-4.2888,4.5472,6.2506,0.18,6.027,0.60086,6.022,0.53857,0.25003,0.27299,0.44882,0.23
-4.6954,4.6357,6.5983,0.69,6.032,0.56477,6.0272,0.51143,0.24638,0.24551,-0.00066,0.325
-4.7115,4.1056,6.2493,0.83,6.0212,0.55611,6.0155,0.50143,0.26808,0.24642,-0.13623,0.09
-4.9001,4.0006,6.3258,0.87,5.9898,0.5545,5.9825,0.49952,0.30344,0.24667,-0.082785,0.015
-4.5592,4.0282,6.0838,0.86,5.9598,0.57681,5.9505,0.52667,0.34178,0.24105,-0.12382,-0.135
-4.5819,3.9938,6.0782,0.6,5.9298,0.60201,5.9199,0.55667,0.35075,0.23487,-0.040158,-0.06
-4.4308,4.0509,6.0034,0.74,5.8949,0.67588,5.8852,0.61286,0.34654,0.29203,-0.084316,0
-4.3331,4.0183,5.9095,0.6,5.8741,0.7185,5.8648,0.66238,0.3389,0.28525,-0.14586,-0.12
-3.9608,4.1153,5.7117,0.5,5.8584,0.75648,5.849,0.69333,0.33843,0.31005,-0.112,-0.095
-4.1403,3.8966,5.6855,0.41,5.8604,0.78423,5.8512,0.71571,0.33787,0.32849,0.1099,0.085
-4.5475,3.8082,5.9315,0.67,5.8722,0.80961,5.863,0.75,0.33667,0.31244,0.11325,0.04
-4.3552,3.998,5.912,0.49,5.8622,0.81817,5.8535,0.76857,0.32792,0.28746,-0.24353,-0.145
