tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-1.3217,4.7432,4.9239,0.39,4.7727,0.40468,4.7723,0.4,0.059097,0.064343,-0.10702,0.08
-1.2621,4.6486,4.8169,0.47,4.7661,0.4019,4.7658,0.3975,0.060775,0.061957,-0.078261,0.06
-1.2787,4.5927,4.7674,0.51,4.7607,0.39815,4.7603,0.39385,0.061407,0.060764,-0.040385,-0.02
-1.2658,4.5638,4.7361,0.43,4.7555,0.39688,4.7552,0.39286,0.062094,0.058498,9.9633e-05,-0.045
-1.2572,4.5988,4.7676,0.42,4.7533,0.39578,4.7529,0.392,0.060464,0.056467,0.013769,-0.025
-1.3936,4.5553,4.7637,0.38,4.7503,0.39542,4.75,0.39187,0.059573,0.054555,-0.0021509,-0.005
-1.3721,4.5614,4.7633,0.41,4.7484,0.39884,4.748,0.39529,0.058249,0.054671,0.013006,-0.055
-1.3279,4.6019,4.7897,0.27,4.7477,0.40123,4.7474,0.39778,0.056577,0.054076,-0.014667,-0.025
-1.4452,4.508,4.734,0.36,4.7568,0.3978,4.7564,0.39421,0.067557,0.054804,-0.028871,0.075
-1.3592,4.5325,4.7319,0.42,4.7548,0.39207,4.7543,0.3875,0.066397,0.061205,-0.016311,-0.01
-1.3893,4.4914,4.7013,0.34,4.7516,0.38933,4.7511,0.38476,0.066352,0.060961,-0.019241,-0.025
-1.4256,4.4717,4.6935,0.37,4.7383,0.38796,4.738,0.38333,0.057128,0.061183,-0.0031555,0.005
-1.4686,4.4594,4.695,0.35,4.7338,0.3847,4.7335,0.38048,0.054231,0.058265,-0.0027875,0.005
-1.5048,4.4398,4.6879,0.38,4.7308,0.37565,4.7305,0.37238,0.054034,0.050686,0.013232,0.015
-1.4673,4.4877,4.7215,0.38,4.7302,0.37357,4.7299,0.37048,0.054042,0.04914,0.0091228,0.005
-1.4035,4.492,4.7061,0.39,4.7243,0.37304,4.724,0.37,0.056414,0.048683,-0.0024793,0.035
-1.4532,4.4871,4.7165,0.45,4.7231,0.36955,4.7227,0.36619,0.055781,0.050939,0.015086,0.025
-1.3519,4.5393,4.7363,0.44,4.7222,0.36955,4.7219,0.36619,0.055266,0.050939,0.10097,-0.06
-1.53,4.6745,4.9185,0.33,4.7212,0.37512,4.7209,0.37238,0.054182,0.046358,-0.010559,-0.09
-1.4102,4.4994,4.7152,0.26,4.7206,0.37606,4.7203,0.37333,0.0541,0.046296,-0.11562,0
