tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-2.7202,6.2694,6.8341,-0.02,6.78,0.087423,6.7791,0.045238,0.11229,0.076656,-0.007933,-0.03
-2.7497,6.2424,6.8211,0.01,6.7678,0.085189,6.7668,0.049524,0.11863,0.071026,-0.027071,0.03
-2.7589,6.1932,6.7799,0.04,6.7521,0.08652,6.7508,0.055238,0.13718,0.068236,-0.045825,0.06
-2.7036,6.1625,6.7295,0.13,6.7366,0.087041,6.7349,0.064286,0.15475,0.060131,-0.06053,0.05
-2.5556,6.1489,6.6589,0.14,6.7124,0.087178,6.7106,0.064762,0.16279,0.059801,-0.050547,-0.025
-2.6508,6.0752,6.6284,0.08,6.6889,0.12851,6.6869,0.081905,0.16741,0.10147,0.022212,0.005
-2.5679,6.1919,6.7033,0.15,6.6734,0.15921,6.6713,0.098571,0.1705,0.12811,0.048169,0.055
-2.6029,6.2006,6.7247,0.19,6.6553,0.17363,6.6535,0.11,0.16113,0.13766,0.00046243,-0.09
-2.539,6.2048,6.7042,-0.03,6.643,0.21432,6.6414,0.13429,0.14879,0.17116,-0.041627,-0.105
-2.6213,6.1023,6.6415,-0.02,6.6286,0.22489,6.6272,0.14619,0.13866,0.17511,-0.09358,0.02
-2.4831,6.0255,6.5171,0.01,6.6267,0.27772,6.6254,0.17857,0.13597,0.21795,-0.027146,0.01
-2.4942,6.0967,6.5872,0,6.6271,0.29756,6.6258,0.20286,0.13661,0.22307,-0.033791,0.035
-2.3351,6.0119,6.4495,0.08,6.6188,0.31135,6.6176,0.22238,0.12927,0.22329,-0.082413,0.05
-2.1637,6.0469,6.4223,0.1,6.6212,0.34113,6.6199,0.25095,0.13275,0.23677,-0.016228,-0.025
-2.1495,6.0463,6.417,0.03,6.6305,0.38315,6.6289,0.28333,0.14629,0.2643,-0.0011524,0.17
-2.0488,6.0844,6.42,0.44,6.6372,0.43988,6.6355,0.32429,0.15078,0.30454,0.032992,0.205
-2.0746,6.1421,6.483,0.44,6.6363,0.47538,6.6347,0.36,0.15088,0.31814,0.069157,-0.055
-1.9634,6.2576,6.5584,0.33,6.6271,0.51415,6.6255,0.39619,0.15237,0.33579,0.094583,0.07
-2.0586,6.3467,6.6722,0.58,6.6091,0.5504,6.6072,0.43095,0.16255,0.35083,0.012119,-0.005
-2.1274,6.2293,6.5826,0.32,6.5614,0.5987,6.5563,0.48381,0.26532,0.36137,0.063034,0.085
-1.9523,6.5119,6.7982,0.75,6.5058,0.70661,6.4958,0.56667,0.36933,0.43254,0.12989,0.085
-1.8785,6.5794,6.8424,0.49,6.4577,0.75058,6.4436,0.62143,0.43739,0.43134,-0.074587,-0.165
-2.0309,6.3313,6.6491,0.42,6.4267,0.83822,6.4116,0.70286,0.45075,0.46801,-0.0067075,0.075
-1.8792,6.5653,6.829,0.64,6.4072,0.92094,6.3916,0.78238,0.45826,0.49781,0.13481,0.195
-1.8392,6.6697,6.9187,0.81,6.3884,0.97861,6.3722,0.85,0.46543,0.49693,-0.01558,0.18
-1.9093,6.5242,6.7978,1,6.3679,1.045,6.3511,0.92857,0.47332,0.49121,-0.15443,0.01
-1.8104,6.3571,6.6098,0.83,6.3411,1.11,6.3233,0.9919,0.48602,0.51043,-0.14386,-0.045
-1.5929,6.3122,6.5101,0.91,6.3149,1.165,6.2966,1.051,0.4922,0.51509,-0.13451,0.045
-1.5291,6.1537,6.3408,0.92,6.28,1.2128,6.2611,1.1105,0.49917,0.4996,-0.43703,0.085
-1.6545,5.3877,5.636,1.08,6.2266,1.2563,6.2063,1.1595,0.51477,0.49546,-0.48475,0.4
-1.423,5.1794,5.3713,1.72,6.1897,1.2921,6.1693,1.2119,0.51425,0.45908,-0.10765,0.04
-1.5569,5.1923,5.4207,1.16,6.1309,1.3325,6.1107,1.2557,0.5091,0.45669,0.27185,-0.005
-1.7995,5.6346,5.915,1.71,6.0654,1.3773,6.0459,1.3119,0.49777,0.42955,0.30417,0.295
-1.7368,5.7735,6.029,1.75,5.9931,1.4459,5.9716,1.39,0.51925,0.40782,0.050341,-0.095
-1.7374,5.7593,6.0157,1.52,5.9204,1.5077,5.9005,1.4576,0.49782,0.39476,-0.028029,-0.035
