uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
2.724,3.5928,4.5087,-1.4868,5.2027,1.6834,5.1075,-1.6661,1.0152,0.24707,0.59647,-0.20852,151,153,152,149,147,148
2.6645,4.0092,4.8138,-1.972,5.1608,1.6834,5.0733,-1.6661,0.9692,0.24707,0.52286,-0.0044267,151,153,152,149,147,148
3.7363,4.1099,5.5544,-1.4956,5.1448,1.6678,5.0595,-1.6497,0.95591,0.25121,0.38372,-0.13772,150.75,153,152,149.25,147,148
3.4487,4.3883,5.5813,-2.2474,5.1771,1.6851,5.0847,-1.6693,0.9977,0.23589,0.2009,-0.021877,150.5,153,152,149.5,147,148
4.3783,4.0382,5.9562,-1.5394,5.247,1.6622,5.146,-1.6467,1.0499,0.23218,0.19585,0.20904,150.25,153,152,149.75,147,148
3.584,4.7783,5.973,-1.8293,5.2838,1.6638,5.1837,-1.6482,1.0486,0.23286,-0.04024,0.086514,150,153,152,150,147,148
4.1619,4.1476,5.8757,-1.3664,5.3719,1.6287,5.2717,-1.6102,1.0582,0.25095,-0.13686,-0.0044453,150,153,152,150,147,148
3.6433,4.3827,5.6993,-1.8382,5.428,1.645,5.3444,-1.6246,0.97218,0.26451,-0.43554,-0.040953,150,153,152,150,147,148
3.475,3.6015,5.0046,-1.4483,5.5567,1.6364,5.5005,-1.6125,0.80796,0.28553,-0.1778,0.026722,150,153,152,150,147,148
3.1749,4.2982,5.3437,-1.7848,5.6447,1.6442,5.5993,-1.6208,0.7321,0.28335,0.23732,-0.10137,150,153,152,150,147,148
4.1725,3.5514,5.4793,-1.651,5.8131,1.6275,5.7756,-1.6005,0.67537,0.3029,0.32903,0.039624,150,153,152,150,147,147.75
4.06,4.4201,6.0017,-1.7055,5.9327,1.6194,5.8971,-1.591,0.6655,0.30968,0.15982,0.11252,150,153,152,150,147,147.5
4.6489,3.4663,5.7989,-1.426,6.0559,1.571,6.0184,-1.5353,0.68992,0.34131,0.43689,0.010451,150,153,152,150,147,147.25
5.6854,3.8664,6.8755,-1.6846,6.1436,1.5563,6.1016,-1.5177,0.73496,0.35274,0.39522,-0.015502,150,153,152,150,147,147
5.7229,3.2662,6.5894,-1.457,6.2535,1.5084,6.204,-1.4775,0.8053,0.31107,-0.67457,-0.038442,150.25,152.75,152.25,149.75,147,147
4.8485,2.6519,5.5264,-1.7615,6.346,1.4773,6.289,-1.4352,0.86951,0.35906,-0.16421,0.16838,150.5,152.5,152.5,149.5,147,147
5.6203,2.759,6.2609,-1.1202,6.3987,1.4583,6.3405,-1.4183,0.88184,0.34775,-0.29907,-0.11901,150.75,152.25,152.75,149.25,147,147
4.3915,2.2366,4.9282,-1.9995,6.4188,1.4556,6.3617,-1.4154,0.87544,0.34847,-0.045713,0.042177,151,152,153,149,147,147
5.8546,1.946,6.1695,-1.0358,6.3892,1.432,6.3261,-1.3942,0.91791,0.33473,0.54788,0.18371,151,152,153,148.75,147,147
5.8999,1.2165,6.024,-1.6321,6.3834,1.4218,6.3186,-1.3834,0.92981,0.33657,0.57655,-0.046377,151,152,153,148.5,147,147
7.2904,0.68586,7.3226,-1.1286,6.3983,1.4041,6.3358,-1.368,0.91405,0.32446,0.51814,0.17224,151,152,153,148.25,147,147
7.0485,0.4076,7.0603,-1.2876,6.434,1.4167,6.3748,-1.3781,0.89291,0.3368,0.019403,0.16316,151,152,153,148,147,147
7.1781,1.6329,7.3614,-0.80227,6.4804,1.4178,6.4209,-1.379,0.89771,0.33772,0.12019,0.080314,151.25,151.75,153,148,147.25,146.75
6.6781,2.9499,7.3007,-1.127,6.5877,1.4328,6.523,-1.3926,0.94404,0.34539,0.1852,-0.30046,151.5,151.5,153,148,147.5,146.5
6.551,4.1068,7.7318,-1.4032,6.5735,1.4553,6.5091,-1.41,0.94073,0.36922,0.22035,0.23845,151.75,151.25,153,148,147.75,146.25
6.4611,4.2641,7.7414,-0.6501,6.4768,1.4973,6.3912,-1.4441,1.0755,0.40519,-0.33811,-0.03548,152,151,153,148,148,146
5.3985,4.5429,7.0556,-1.4742,6.4104,1.5191,6.2968,-1.4611,1.2311,0.42605,-0.7107,-0.32747,152,151.25,153.25,148,148,146
4.8085,4.1013,6.32,-1.305,6.3723,1.572,6.255,-1.5109,1.2472,0.44488,-1.0521,0.039947,152,151.5,153.5,148,148,146
3.8907,3.0625,4.9514,-1.3943,6.4693,1.5625,6.3585,-1.5031,1.2215,0.4373,-0.73635,0.042197,152,151.75,153.75,148,148,146
3.2899,3.5599,4.8473,-1.2206,6.6159,1.5716,6.4863,-1.5153,1.3357,0.42707,0.37716,-0.033433,152,152,154,148,148,146
3.2279,4.7049,5.7057,-1.4611,6.8117,1.5425,6.6549,-1.4791,1.4892,0.44834,0.72504,-0.32136,151.75,152,154.25,148.25,148,145.75
2.053,5.9533,6.2973,-1.8634,6.9093,1.5364,6.7367,-1.47,1.5725,0.45764,0.63276,-0.13147,151.5,152,154.5,148.5,148,145.5
1.004,6.8986,6.9712,-1.7241,7.0142,1.5469,6.8278,-1.4816,1.6459,0.45586,0.82206,0.075775,151.25,152,154.75,148.75,148,145.25
0.68099,7.9122,7.9415,-1.7118,7.0473,1.5831,6.8582,-1.5261,1.662,0.4312,-0.19391,-0.163,151,152,155,149,148,145
1.3833,6.4364,6.5834,-2.0501,7.0858,1.6053,6.8936,-1.5515,1.6798,0.42213,-1.9134,-0.2311,151,152,154.75,148.5,147.75,144.75
2.2904,3.4182,4.1146,-2.174,7.0519,1.5895,6.8612,-1.5301,1.6693,0.44102,-1.5202,-0.033808,151,152,154.5,148,147.5,144.5
3.4787,0.6722,3.5431,-2.1177,6.9794,1.5845,6.7883,-1.5137,1.6624,0.48012,0.63415,0.0042568,151,152,154.25,147.5,147.25,144.25
4.9603,-2.0907,5.3829,-2.1655,6.9266,1.567,6.7314,-1.4914,1.6732,0.49275,1.7803,0.14034,151,152,154,147,147,144
6.3432,-3.1981,7.1038,-1.837,6.8848,1.5484,6.6815,-1.4625,1.7014,0.52124,1.7343,0.43679,151,152,153.75,147,146.75,144.25
7.2963,-5.0112,8.8514,-1.2919,6.9173,1.5293,6.7233,-1.4361,1.6672,0.53854,1.231,0.48231,151,152,153.5,147,146.5,144.5
7.3638,-6.1055,9.5657,-0.87238,6.9777,1.5137,6.7977,-1.4115,1.6133,0.56032,0.094723,0.17711,151,152,153.25,147,146.25,144.75
6.9584,-5.7722,9.0409,-0.93769,7.0586,1.5067,6.8837,-1.4038,1.6003,0.5607,-0.29631,-0.32862,151,152,153,147,146,145
7.6476,-4.6937,8.9731,-1.5296,7.1724,1.4633,6.9925,-1.3567,1.6357,0.56178,-0.52118,-0.40009,151,152.25,153,147,145.75,145
7.12,-3.6445,7.9985,-1.7379,7.3091,1.4353,7.1128,-1.3282,1.7245,0.55736,-0.46427,-0.065514,151,152.5,153,147,145.5,145
7.7598,-2.1212,8.0445,-1.6607,7.4216,1.4172,7.2056,-1.3114,1.8211,0.5505,-0.47351,0.39218,151,152.75,153,147,145.25,145
6.9415,-1.2407,7.0515,-0.9535,7.7261,1.3447,7.456,-1.2152,2.0751,0.59008,-0.91698,0.67774,151,153,153,147,145,145
6.1977,-0.40053,6.2106,-0.30518,8.1635,1.2594,7.8678,-1.1233,2.2311,0.58343,-0.59549,-0.026258,150.75,153,153,147.25,144.75,145
5.6317,1.6216,5.8605,-1.006,8.6062,1.1735,8.3171,-1.0079,2.2665,0.61581,-0.46856,-0.19622,150.5,153,153,147.5,144.5,145
4.8603,2.0462,5.2735,-0.69763,8.9227,1.0779,8.6351,-0.88521,2.3023,0.63014,-0.016532,0.082347,150.25,153,153,147.75,144.25,145
5.2966,2.43,5.8275,-0.84132,9.1581,1.0106,8.86,-0.76662,2.3748,0.67481,0.56853,-0.002542,150,153,153,148,144,145
5.4713,3.3406,6.4105,-0.70271,9.2861,0.9857,8.9771,-0.6675,2.4342,0.7432,0.842,-0.22975,149.75,153,153,148.25,144,145
5.6886,4.9053,7.5115,-1.3008,9.3697,0.96852,9.0524,-0.6372,2.4774,0.74739,1.086,-0.084985,149.5,153,153,148.5,144,145
6.3398,5.7849,8.5824,-0.87268,9.4278,0.95101,9.1091,-0.57272,2.4907,0.77796,0.99257,0.08732,149.25,153,153,148.75,144,145
6.2365,7.1618,9.4966,-1.1262,9.4891,0.89728,9.1695,-0.47585,2.5026,0.7795,0.65448,-0.2431,149,153,153,149,144,145
6.8253,7.1593,9.8914,-1.3589,9.5866,0.82529,9.2719,-0.36238,2.4963,0.75979,1.1725,0.5483,148.75,152.75,153,149,144.25,144.75
7.4156,9.2321,11.842,-0.02958,9.7493,0.76607,9.4334,-0.24129,2.5225,0.74503,1.4358,0.55667,148.5,152.5,153,149,144.5,144.5
7.5564,10.286,12.763,-0.24555,9.9845,0.75323,9.6753,-0.16222,2.5262,0.75372,0.56864,0.16819,148.25,152.25,153,149,144.75,144.25
6.892,10.998,12.979,0.30681,10.197,0.77804,9.9199,-0.10274,2.4205,0.79027,-0.3513,0.32824,148,152,153,149,145,144
6.291,10.29,12.06,0.41093,10.463,0.76967,10.223,-0.013871,2.2814,0.78855,-0.57595,0.17326,148,152,153.25,149,145,144
7.2236,9.3646,11.827,0.65333,10.775,0.75582,10.588,0.029204,2.0509,0.77391,-0.37559,0.18935,148,152,153.5,149,145,144
7.2542,8.6761,11.309,0.78964,11.047,0.74117,10.91,0.092948,1.7792,0.75348,-0.33927,-0.44469,148,152,153.75,149,145,144
7.3755,8.3599,11.148,-0.23604,11.267,0.73111,11.176,0.14677,1.4622,0.73391,-0.53974,-0.18658,148,152,154,149,145,144
8.4503,5.7654,10.23,0.41648,11.465,0.67403,11.404,0.21295,1.2144,0.6553,-0.45346,0.37029,148,152,153.75,149.25,145,144.25
