uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
-1.4867,0.63858,1.618,-1.7022,2.356,1.6064,2.32,-1.5976,0.43017,0.17648,0.44514,0.026225,146,149,148,152,149,150
-1.9162,0.7647,2.0632,-1.676,2.3412,1.5911,2.3077,-1.5821,0.41237,0.17657,0.3931,0.026175,146,149,148,152,149,150
-2.0351,1.2802,2.4043,-1.6499,2.3002,1.5977,2.2636,-1.5892,0.42556,0.17098,-0.017011,-0.018861,146,149,148,152,149,150
-1.8666,0.79584,2.0292,-1.7137,2.2473,1.6238,2.201,-1.6137,0.47131,0.18805,-0.10269,0.14905,146,149,148,152,149,150
-2.1131,0.60802,2.1989,-1.3518,2.2114,1.6282,2.1627,-1.6187,0.47774,0.18222,0.04744,0.037078,146,149,148,152,149,150
-1.8547,1.0352,2.124,-1.6396,2.2395,1.6241,2.1916,-1.615,0.47577,0.17663,0.044746,-0.12133,146,149,148,152,149,150
-1.7628,1.4592,2.2884,-1.5944,2.2648,1.6283,2.2178,-1.6197,0.47317,0.1721,0.45275,0.050373,146,149,148,152,149,150
-1.5996,2.5728,3.0295,-1.5388,2.3484,1.6269,2.2876,-1.6188,0.54636,0.16701,0.27989,-0.13307,146,149,148,152,149,150
-0.84149,2.721,2.8482,-1.8606,2.4649,1.617,2.3789,-1.6087,0.66342,0.16819,-0.083975,0.15937,146,149,148,152,149,150
-1.2771,2.5608,2.8616,-1.2201,2.6144,1.6075,2.4905,-1.599,0.81618,0.16928,-0.39662,0.11722,146,149,148,152,149,150.25
-0.79159,1.8963,2.0549,-1.6261,2.7669,1.616,2.6055,-1.6075,0.95424,0.16949,-0.34491,-0.096106,146,149,148,152,149,150.5
-1.6318,1.4332,2.1718,-1.4123,2.9494,1.6169,2.7643,-1.6084,1.054,0.17004,-0.15994,-0.024143,146,149,148,152,149,150.75
