uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
6.2048,4.2877,7.5422,-1.181,4.7953,1.5134,4.4417,-1.4951,1.8953,0.24669,-0.77503,-0.25582,150,151,151,150,148,148
5.4416,4.0229,6.7671,-1.4368,4.6361,1.5571,4.2576,-1.535,1.9163,0.27288,-0.73963,-0.02339,150,151,151,150,148,148
5.3011,2.9424,6.0629,-1.2278,4.478,1.6015,4.0578,-1.5755,1.9712,0.29926,-0.63774,0.17715,150,151,151,150,148,148
4.7296,2.7909,5.4917,-1.0825,4.3324,1.6246,3.8713,-1.5987,2.0182,0.30033,-0.4652,-0.25491,150,151,151,150,148,148
4.3682,2.6946,5.1325,-1.7376,4.213,1.63,3.7374,-1.6056,2.0128,0.29066,-0.65582,-0.37244,150,151,151,150,148,148
3.5123,2.2664,4.18,-1.8274,4.1392,1.6179,3.6794,-1.5943,1.9583,0.28445,-0.70637,0.15649,150,151,151,150,148,148
3.2397,1.8279,3.7198,-1.4246,4.0736,1.623,3.629,-1.6007,1.9075,0.27668,-0.50693,0.09864,150,151,151,150,148,148
2.0253,2.4337,3.1662,-1.6301,3.9921,1.6365,3.5487,-1.6146,1.8817,0.27479,-0.52271,-0.053003,150,151,151,150,148,148
1.4652,2.2373,2.6743,-1.5306,3.9435,1.6459,3.5163,-1.6246,1.8341,0.27064,-0.60035,-0.024843,150,151,151,150,148,148
1.3388,1.439,1.9655,-1.6798,3.9152,1.6566,3.5071,-1.6358,1.7857,0.26813,-0.25867,-0.078418,150,151,151.25,150,148,148
1.9345,0.95406,2.157,-1.6874,3.8766,1.6766,3.483,-1.6549,1.7439,0.27562,0.13343,-0.14726,150,151,151.5,150,148,148
2.1515,0.59532,2.2323,-1.9743,3.6026,1.6882,3.3011,-1.6695,1.4784,0.25672,-0.24889,-0.18688,150,151,151.75,150,148,148
1.6205,0.35636,1.6592,-2.0612,3.4398,1.6805,3.2008,-1.6598,1.291,0.26962,-0.39236,0.037114,150,151,152,150,148,148
1.4449,-0.088616,1.4476,-1.9001,3.4286,1.6906,3.1944,-1.6723,1.2764,0.25418,0.10175,0.17898,150,151,151.75,150,148,148
1.7579,-0.61612,1.8627,-1.7032,3.5016,1.7045,3.2369,-1.6908,1.3684,0.22115,0.68071,0.23796,150,151,151.5,150,148,148
2.7162,-0.7161,2.8091,-1.4242,3.5825,1.6928,3.2875,-1.6784,1.4586,0.22564,0.47989,3.6401e-05,150,151,151.25,150,148,148
2.7491,-0.63952,2.8225,-1.7032,3.692,1.6879,3.367,-1.6737,1.5522,0.2234,-0.31292,-0.21312,150,151,151,150,148,148
2.1826,0.051122,2.1832,-1.8504,3.7715,1.6969,3.4341,-1.6837,1.5979,0.21629,0.055522,-0.051413,150,151,151,150,148,148
2.9334,0.033785,2.9336,-1.806,3.8646,1.6821,3.5211,-1.6664,1.632,0.2345,0.57436,0.0010315,150,151,151,150,148,148
3.2421,0.76855,3.3319,-1.8483,3.9541,1.6791,3.6164,-1.6631,1.6385,0.23705,0.033911,-0.11556,150,151,151,150,148,148
2.4875,1.6795,3.0014,-2.0371,4.0163,1.6816,3.7027,-1.6655,1.5944,0.2375,0.19494,0.18027,150,151,151,150,148,148
3.2323,1.8449,3.7218,-1.4878,4.0437,1.6791,3.7451,-1.663,1.5627,0.23753,0.82972,0.40286,150,151,151,150,148,148
3.8513,2.625,4.6608,-1.2314,4.0577,1.6729,3.7681,-1.6576,1.5428,0.23125,1.1032,-0.0021167,150,151,151,150,148,148
4.6274,3.7056,5.9283,-1.492,4.074,1.665,3.801,-1.6509,1.5024,0.22087,0.86261,-0.1191,150,151,151,150,148,148
