uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
9.7766,8.3187,12.837,0.83235,9.994,0.48559,9.4483,0.31974,3.3375,0.37449,-0.32386,0.088688,143,150,147,146.25,139.75,142
10.038,7.4613,12.507,0.68869,10.036,0.49349,9.5447,0.297,3.1768,0.40384,-0.43655,-0.056365,143,150,147,146,140,142
9.3993,7.4015,11.964,0.71962,10.073,0.48822,9.6376,0.31425,3.0026,0.38287,-0.015712,-0.03707,143.25,149.75,147,146,140.25,142.25
10.434,6.8389,12.476,0.61455,10.059,0.50637,9.6019,0.27604,3.072,0.435,-0.38079,-0.01524,143.5,149.5,147,146,140.5,142.5
9.0495,6.6025,11.202,0.68914,10.007,0.52404,9.4769,0.2563,3.293,0.46838,-0.45072,-0.28524,143.75,149.25,147,146,140.75,142.75
8.8982,7.4018,11.574,0.044065,9.8935,0.51378,9.2258,0.20901,3.6614,0.48093,-0.77379,-0.4273,144,149,147,146,141,143
8.0498,5.3302,9.6545,-0.16547,9.6183,0.59224,8.7597,0.13189,4.0705,0.59163,-1.2412,0.23572,144,148.75,147.25,146,141.25,142.75
6.8573,5.9698,9.0918,0.5155,9.3113,0.66977,8.3312,0.066714,4.2612,0.6829,-0.49912,0.24742,144,148.5,147.5,146,141.5,142.5
6.4937,5.7239,8.6563,0.32937,8.894,0.72695,7.8274,-0.021654,4.3276,0.74457,-0.96909,-0.30911,144,148.25,147.75,146,141.75,142.25
5.479,4.5994,7.1536,-0.10273,8.4519,0.75409,7.3315,-0.12633,4.3089,0.76179,-0.81079,-0.056578,144,148,148,146,142,142
5.308,4.6165,7.0347,0.21622,7.9715,0.79138,6.8345,-0.20844,4.2043,0.78228,-0.91053,-0.15301,144.25,148,147.75,145.75,142,142.25
4.4298,2.9686,5.3326,-0.40874,7.5092,0.81924,6.4046,-0.30897,4.0173,0.77748,-0.99039,-0.092551,144.5,148,147.5,145.5,142,142.5
3.6442,3.5018,5.0539,0.031113,7.057,0.83295,6.0116,-0.38818,3.7875,0.75516,-0.85794,-0.11433,144.75,148,147.25,145.25,142,142.75
2.9947,2.0278,3.6167,-0.6374,6.6696,0.84424,5.709,-0.46801,3.5335,0.71999,-1.0917,-0.34983,145,148,147,145,142,143
2.0046,2.0546,2.8705,-0.66855,6.2594,0.88064,5.4318,-0.55929,3.1875,0.69703,-0.87991,0.1268,144.75,148.25,147,145.25,141.75,143
-0.1094,1.8536,1.8569,-0.38379,5.9693,0.894,5.2384,-0.63908,2.9329,0.64059,-1.0018,-0.35193,144.5,148.5,147,145.5,141.5,143
-0.63059,0.5948,0.86685,-1.3724,5.5711,0.89499,4.9786,-0.65061,2.5618,0.62976,0.21185,-0.5256,144.25,148.75,147,145.75,141.25,143
-2.2717,0.20063,2.2806,-1.435,5.2693,0.89557,4.7546,-0.65331,2.3275,0.6277,0.69142,-0.0036767,144,149,147,146,141,143
-2.2225,0.34899,2.2497,-1.3798,5.0212,0.88935,4.5783,-0.66931,2.1128,0.6001,0.12432,0.071981,144,149,147,146,140.75,143
-2.5283,-0.068526,2.5292,-1.291,4.8151,0.89225,4.437,-0.6628,1.9166,0.61208,0.23398,0.083314,144,149,147,146,140.5,143
-2.7115,-0.18222,2.7177,-1.2131,4.7089,0.89511,4.3569,-0.64155,1.8306,0.63963,0.63943,0.0061511,144,149,147,146,140.25,143
-3.7602,-0.60151,3.808,-1.2787,4.5601,0.90156,4.2376,-0.6262,1.726,0.66462,0.7687,0.11922,144,149,147,146,140,143
-4.2369,0.39302,4.2551,-0.97469,4.5177,0.89857,4.1985,-0.59569,1.7092,0.68935,0.90029,0.16093,143.75,148.75,147,146,140,142.5
-5.4595,1.2846,5.6086,-0.95685,4.4862,0.90444,4.1686,-0.57466,1.6989,0.71566,1.1994,-0.16384,143.5,148.5,147,146,140,142
-5.9481,2.9821,6.6538,-1.3024,4.4817,0.89376,4.1629,-0.54173,1.7011,0.72842,0.7658,-0.014718,143.25,148.25,147,146,140,141.5
