uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
4.913,1.8325,5.2436,-1.3798,3.3618,1.425,3.1445,-1.4205,1.2469,0.11798,-0.10201,-0.033939,149,151,150,150,148,149
5.0786,0.80251,5.1416,-1.4138,3.251,1.4549,3.0147,-1.4481,1.2712,0.14751,-0.61409,0.064711,149,151,150,150,148,149
4.0058,0.27813,4.0154,-1.2504,3.232,1.4634,3.0131,-1.4567,1.217,0.14466,-0.94461,-0.068477,149,151,150,150,148,149
3.2235,0.43218,3.2524,-1.5507,3.1845,1.4866,2.9753,-1.4785,1.1778,0.16104,-0.1618,-0.18098,149,151,150,150,148,149
3.6471,-0.57307,3.6918,-1.6124,3.1717,1.4828,2.9761,-1.4751,1.1349,0.15572,-0.14837,0.14953,149,151,150,150,148,149
2.9465,-0.23214,2.9556,-1.2517,3.2138,1.4934,3.0269,-1.4857,1.1151,0.15633,-0.66247,0.070975,149.25,151.25,150,150,148,149
2.3305,0.41302,2.3669,-1.4704,3.2186,1.4899,3.0427,-1.4825,1.0817,0.15194,-0.55433,-0.02434,149.5,151.5,150,150,148,149
1.8372,0.18989,1.847,-1.3004,3.2762,1.4729,3.1034,-1.464,1.0805,0.16718,-0.18211,0.022683,149.75,151.75,150,150,148,149
1.5583,1.2578,2.0026,-1.4251,3.3643,1.473,3.186,-1.4645,1.1101,0.16248,0.098996,-0.081918,150,152,150,150,148,149
2.0109,0.3715,2.045,-1.4642,3.3674,1.4645,3.198,-1.4558,1.0818,0.16277,0.012698,-0.040846,149.75,151.75,150.25,150,147.75,148.75
1.5125,1.3511,2.028,-1.5068,3.4217,1.4576,3.2537,-1.4491,1.0849,0.16166,-0.22949,-0.14343,149.5,151.5,150.5,150,147.5,148.5
1.4152,0.71593,1.586,-1.7511,3.3247,1.4632,3.1807,-1.4547,0.99189,0.16118,0.483,-0.027104,149.25,151.25,150.75,150,147.25,148.25
2.3308,1.8792,2.994,-1.561,3.3599,1.4577,3.2026,-1.4488,1.0412,0.16494,0.44952,-0.005017,149,151,151,150,147,148
1.8237,1.6881,2.485,-1.7611,3.3786,1.4548,3.2177,-1.4452,1.0558,0.17017,-0.0033669,0.066396,149.25,151,151,149.75,147.25,148
2.8678,0.83653,2.9873,-1.4282,3.5339,1.4317,3.3369,-1.4193,1.1923,0.19334,0.65201,0.058007,149.5,151,151,149.5,147.5,148
3.4463,1.5747,3.789,-1.6451,3.668,1.4177,3.4384,-1.4056,1.3091,0.18908,0.15396,-0.0015332,149.75,151,151,149.25,147.75,148
3.0234,1.3105,3.2952,-1.4312,3.7678,1.4064,3.5325,-1.3912,1.3432,0.21176,0.1728,0.24857,150,151,151,149,148,148
3.9722,1.1475,4.1347,-1.1479,3.9515,1.3907,3.703,-1.3741,1.4133,0.21931,0.68908,-0.021217,150,150.75,151,148.75,148,147.75
4.2374,1.9711,4.6734,-1.4737,4.0954,1.3804,3.8658,-1.362,1.3854,0.23042,-0.35448,-0.072099,150,150.5,151,148.5,148,147.5
3.1171,1.4209,3.4257,-1.2921,4.2374,1.3677,4.0262,-1.3484,1.3536,0.23485,-0.15254,0.080001,150,150.25,151,148.25,148,147.25
3.9866,1.7858,4.3683,-1.3137,4.3318,1.3666,4.148,-1.3473,1.2794,0.23433,0.14193,-0.10267,150,150,151,148,148,147
3.3454,1.6029,3.7095,-1.4975,4.4504,1.3603,4.2941,-1.3414,1.1979,0.23165,0.61654,0.011611,150.25,150,151,148,148.25,147
5.5832,0.4506,5.6014,-1.2905,4.5323,1.3323,4.4204,-1.316,1.0255,0.21294,0.31161,0.16093,150.5,150,151,148,148.5,147
4.0744,1.4738,4.3328,-1.1756,4.5616,1.3089,4.4595,-1.2925,0.98313,0.2118,0.076716,0.14269,150.75,150,151,148,148.75,147
5.7544,0.065028,5.7548,-1.0051,4.5745,1.2983,4.4812,-1.2842,0.94151,0.19533,0.74554,-0.075404,151,150,151,148,149,147
5.5841,1.6538,5.8239,-1.3264,4.5638,1.3033,4.4638,-1.2886,0.97345,0.19972,-0.41182,0.028834,150.75,150,151,148.25,149,147.25
4.7293,1.3964,4.9312,-0.9474,4.5202,1.2945,4.4005,-1.2814,1.0589,0.18857,0.061754,0.10679,150.5,150,151,148.5,149,147.5
5.2421,2.8091,5.9474,-1.1129,4.4869,1.2903,4.3453,-1.2774,1.1462,0.18614,0.16749,-0.048701,150.25,150,151,148.75,149,147.75
4.3782,2.9263,5.2661,-1.0448,4.4143,1.3039,4.2378,-1.2911,1.2663,0.18672,-0.2877,-0.013837,150,150,151,149,149,148
4.6466,2.6957,5.372,-1.1405,4.3053,1.296,4.0803,-1.2838,1.4073,0.18216,-0.33238,-0.19803,150,150.25,151,149,149,148
3.8862,2.4637,4.6014,-1.4409,4.277,1.3152,4.0399,-1.3008,1.4389,0.19884,-0.1373,-0.12076,150,150.5,151,149,149,148
5.0242,0.86072,5.0974,-1.382,4.1864,1.3212,3.9142,-1.3066,1.5216,0.20099,-0.18164,0.11103,150,150.75,151,149,149,148
4.0717,1.1759,4.2381,-1.2188,4.1127,1.3234,3.7831,-1.3085,1.653,0.20313,-0.64074,0.15737,150,151,151,149,149,148
3.4036,1.7253,3.8159,-1.0673,3.9345,1.3459,3.5699,-1.3285,1.695,0.22108,-0.64868,-0.18425,149.75,151,151,149.25,148.75,148
2.3445,1.7752,2.9407,-1.5873,3.841,1.3732,3.4527,-1.3542,1.7245,0.23343,-0.59757,-0.22662,149.5,151,151,149.5,148.5,148
2.3231,1.2131,2.6207,-1.5205,3.6412,1.3966,3.2412,-1.3796,1.7002,0.22234,-0.24022,0.047412,149.25,151,151,149.75,148.25,148
1.7979,1.6795,2.4603,-1.4925,3.4562,1.4108,3.0837,-1.3932,1.5992,0.22757,-0.24285,0.085836,149,151,151,150,148,148
