tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-4.1483,3.7129,5.5672,0.4,5.4105,0.36866,5.4076,0.3481,0.18314,0.1244,-0.041102,0.075
-4.0807,3.6392,5.4677,0.44,5.4154,0.36463,5.4127,0.34333,0.17499,0.12583,-0.069138,-0.035
-4.0611,3.603,5.429,0.33,5.4102,0.35384,5.4074,0.33286,0.17704,0.12301,-0.0068854,-0.015
-3.9627,3.7473,5.454,0.41,5.3974,0.34501,5.3949,0.32714,0.16809,0.1123,-0.063593,-0.085
-3.921,3.5685,5.3018,0.16,5.3897,0.3395,5.3873,0.32095,0.16361,0.1134,-0.11296,-0.165
-3.7404,3.6527,5.228,0.08,5.3871,0.33259,5.3848,0.31381,0.16223,0.11289,-0.060303,0.045
-3.7435,3.582,5.1812,0.25,5.3847,0.32174,5.3824,0.30381,0.16022,0.10851,-0.025502,0.095
-3.6919,3.6293,5.177,0.27,5.3829,0.33276,5.3807,0.31095,0.15777,0.1214,0.025616,-0.04
-3.792,3.6054,5.2324,0.17,5.3806,0.32609,5.3785,0.30476,0.15526,0.11885,-0.031757,-0.025
-3.5923,3.6391,5.1135,0.22,5.3787,0.32297,5.3766,0.30238,0.15211,0.11627,0.026304,0.075
-3.7367,3.7374,5.285,0.32,5.3747,0.33498,5.3727,0.31238,0.14846,0.12393,0.040781,0.02
-3.6759,3.6711,5.1951,0.26,5.3723,0.35402,5.3704,0.32476,0.14563,0.14442,0.0023405,-0.03
-3.803,3.6766,5.2897,0.26,5.3821,0.36663,5.3799,0.33333,0.15818,0.15644,0.096632,0.11
-3.8559,3.7639,5.3884,0.48,5.3943,0.39869,5.3917,0.35524,0.17078,0.18546,0.057007,-0.01
-3.7956,3.8462,5.4037,0.24,5.4102,0.41436,5.407,0.36714,0.19003,0.19683,0.028692,-0.115
-3.8595,3.8419,5.4457,0.25,5.4324,0.44334,5.4288,0.39476,0.20313,0.20675,0.041472,0.005
-3.9013,3.8579,5.4866,0.25,5.4571,0.47003,5.4533,0.42524,0.20866,0.2052,0.069664,0.165
-4.0653,3.8296,5.5851,0.58,5.4786,0.48487,5.4751,0.4419,0.20258,0.20447,0.018311,0.02
-3.8693,3.9414,5.5233,0.29,5.494,0.49301,5.4909,0.45238,0.19078,0.20082,0.0098259,-0.09
