tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-1.02,-1.3144,1.6637,0.07,1.6833,0.071979,1.6829,0.062857,0.036744,0.035936,0.012198,0.035
-1.0267,-1.307,1.6621,0.11,1.6832,0.074929,1.6828,0.069048,0.036708,0.029817,-0.0023926,0.02
-1.0402,-1.2923,1.6589,0.11,1.6852,0.074929,1.6848,0.069048,0.03685,0.029817,0.00061647,-0.02
-1.0746,-1.2696,1.6633,0.07,1.685,0.082202,1.6846,0.074762,0.036346,0.035017,-0.0027775,-0.025
-1.0673,-1.2628,1.6534,0.06,1.6843,0.086244,1.684,0.08,0.035096,0.033015,0.0049602,-0.005
-1.082,-1.2763,1.6732,0.06,1.6852,0.08756,1.6849,0.080952,0.035414,0.034191,-0.0049593,0
-1.0599,-1.256,1.6435,0.06,1.688,0.09037,1.6876,0.083333,0.03605,0.035824,-0.015503,0
-1.0666,-1.2487,1.6422,0.06,1.6879,0.095494,1.6876,0.088095,0.036045,0.037765,0.036999,0.01
-1.1526,-1.2732,1.7175,0.08,1.6899,0.10083,1.6895,0.092857,0.036081,0.040267,0.048054,0.005
-1.1606,-1.2941,1.7383,0.07,1.6899,0.10581,1.6895,0.098571,0.036085,0.039406,0.0033124,-0.015
-1.1121,-1.3175,1.7241,0.05,1.6929,0.11108,1.6925,0.10429,0.034143,0.039188,-0.021331,0.015
-1.0832,-1.3046,1.6957,0.1,1.6934,0.11261,1.6931,0.10619,0.033753,0.038403,-0.0082906,0.04
-1.1453,-1.2665,1.7075,0.13,1.6959,0.11418,1.6956,0.10762,0.033293,0.039103,0.030373,0.03
-1.1889,-1.2929,1.7564,0.16,1.6968,0.11633,1.6965,0.10952,0.032504,0.040184,0.01831,-0.005
-1.2018,-1.264,1.7441,0.12,1.6975,0.1193,1.6972,0.11286,0.031889,0.039641,-0.025331,-0.015
-1.1588,-1.2517,1.7058,0.13,1.7024,0.12144,1.7021,0.11571,0.032656,0.037759,-0.010643,0.005
-1.1189,-1.3101,1.7228,0.13,1.7079,0.1231,1.7076,0.1181,0.036923,0.035584,-0.0075225,0.01
-1.1103,-1.2751,1.6907,0.15,1.7153,0.12564,1.7149,0.12143,0.038867,0.033058,-0.0066718,0.015
-1.1318,-1.2812,1.7095,0.16,1.7206,0.12974,1.7202,0.12619,0.035965,0.030899,-0.011014,0
-1.109,-1.2468,1.6687,0.15,1.7202,0.13166,1.7198,0.12857,0.036053,0.029032,-0.0038548,0
-1.1109,-1.2892,1.7018,0.16,1.7186,0.13654,1.7182,0.13381,0.035931,0.027835,0.0031851,-0.02
-1.1434,-1.2241,1.6751,0.11,1.7177,0.14228,1.7173,0.14048,0.036004,0.023125,0.0065706,-0.01
