uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
-1.4477,0.35702,1.4911,-1.8226,2.7214,1.4169,2.3472,-1.3989,1.4112,0.23071,-0.25728,-0.086219,147,149.75,149,151,149,149.25
-2.0821,0.24109,2.096,-1.4727,2.6125,1.4303,2.2479,-1.4115,1.3642,0.23702,0.10902,0.14699,147,150,149,151,149,149
-1.696,0.21147,1.7091,-1.5286,2.4659,1.4423,2.1501,-1.4287,1.2372,0.20268,-0.40018,0.12311,147.25,150,149,151,149,149.25
-1.2339,-0.39513,1.2956,-1.2264,2.3546,1.4437,2.0689,-1.4301,1.1521,0.20238,-0.58127,-0.03446,147.5,150,149,151,149,149.5
0.22528,-0.49798,0.54657,-1.5976,2.2219,1.4443,1.9831,-1.4307,1.0267,0.2023,0.28793,-0.21411,147.75,150,149,151,149,149.75
1.8614,0.19432,1.8715,-1.6547,2.0735,1.4441,1.8902,-1.4305,0.87335,0.20261,-0.13478,0.13106,148,150,149,151,149,150
0.067975,0.26853,0.277,-1.3354,1.99,1.4702,1.827,-1.4584,0.80806,0.19062,-0.90695,0.1617,148,150,149,151,149,150
0.056814,0.0095141,0.057605,-1.3313,2.0178,1.4579,1.8466,-1.4452,0.83349,0.19634,0.36939,-0.22662,148,150,149,151,149,150
0.46768,0.90171,1.0158,-1.7887,2.0171,1.465,1.846,-1.4517,0.83311,0.2014,0.87126,0.03909,148,150,149,151,149,150
-0.64573,1.6803,1.8001,-1.2531,2.0745,1.4806,1.8845,-1.4676,0.88879,0.20058,0.31654,0.14226,148,150,149,151,149,150
-1.3849,0.89495,1.6489,-1.5042,2.176,1.4765,1.9499,-1.4628,0.98967,0.20598,0.040352,-0.19793,148,150,149,151,149,150
-1.2244,1.4277,1.8808,-1.6489,2.3092,1.4675,2.0619,-1.4552,1.0653,0.19465,0.56538,0.16035,148,150,149,151,149,150
-2.196,1.7041,2.7796,-1.1835,2.4577,1.4571,2.1711,-1.4439,1.1802,0.20033,0.28365,0.12249,148,150,149,151,149,150
-2.2652,0.92848,2.4481,-1.404,2.6169,1.453,2.302,-1.44,1.2752,0.19939,-0.067896,-0.11249,148,150,149,151,149,150
-1.6218,2.088,2.6438,-1.4084,2.7998,1.4583,2.4662,-1.4459,1.3583,0.19449,0.0028713,0.10759,148,150,149,151,149,150
-1.7595,1.7104,2.4539,-1.1888,3.0774,1.4335,2.72,-1.4185,1.4748,0.21181,-0.31023,-0.12422,148,150,149,151,149,150
-0.53433,1.9515,2.0234,-1.6569,3.2051,1.4169,2.8458,-1.4026,1.511,0.20565,0.30349,-0.022381,148,150,149,151,149,150
-1.261,2.789,3.0608,-1.2335,3.3038,1.4321,3.008,-1.4171,1.4002,0.21135,0.19307,-0.0035948,148,150,149,151,149,150
-1.2193,2.0782,2.4095,-1.664,3.3693,1.4425,3.1495,-1.4275,1.2265,0.21227,0.19718,-0.19154,147.75,150,149,151,149,150
-1.5764,3.0746,3.4552,-1.6166,3.3956,1.4335,3.2051,-1.42,1.149,0.20136,0.78717,0.23276,147.5,150,149,151,149,150
-3.0084,2.6116,3.9838,-1.1985,3.387,1.4577,3.187,-1.4433,1.175,0.20923,0.1937,-0.022971,147.25,150,149,151,149,150
-2.3233,3.0607,3.8426,-1.6626,3.3882,1.4462,3.1895,-1.4312,1.1716,0.21284,0.20225,-0.018943,147,150,149,151,149,150
-2.8929,3.2998,4.3883,-1.2364,3.3967,1.4258,3.2037,-1.4107,1.1567,0.21154,0.30854,0.10845,147,150,149,151.25,149,150
-3.5595,2.6867,4.4597,-1.4457,3.3525,1.4367,3.1288,-1.4227,1.2338,0.20505,0.17707,-0.057817,147,150,149,151.5,149,150
-3.5763,3.1147,4.7425,-1.352,3.3212,1.4487,3.0727,-1.4341,1.2917,0.21053,0.70911,0.21169,147,150,149,151.75,149,150
-4.8969,3.2512,5.8779,-1.0223,3.2919,1.4536,3.0281,-1.4389,1.3231,0.21109,-0.11516,0.015782,147,150,149,152,149,150
-4.0918,1.9017,4.5122,-1.3205,3.2689,1.4822,2.9916,-1.4672,1.35,0.21567,-1.0973,-0.30901,147,150,149,152,149,150
