uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
3.6117,-1.6271,3.9613,-0.65716,4.6019,0.91187,4.5283,-0.90188,0.85978,0.14117,0.84974,-0.11406,150,151,148,149,148,151
4.7157,-0.95266,4.811,-0.77122,4.6722,0.90559,4.5997,-0.89617,0.85624,0.13605,0.53615,-0.10024,150,151,148,149,148,151
5.0079,-0.50752,5.0336,-0.85764,4.6811,0.87744,4.6141,-0.85873,0.82144,0.18758,-0.65033,-0.010505,150,151,148,149,148,151
3.4715,-0.52079,3.5104,-0.79223,4.7163,0.8888,4.6525,-0.87062,0.80215,0.18562,-1.1848,-0.02987,150,151,148,149,148,151
2.6544,-0.22544,2.6639,-0.91738,4.7811,0.89203,4.7164,-0.87498,0.81161,0.17967,0.45765,-0.159,150,151,148,149,148,151
4.2129,-1.3557,4.4257,-1.1102,4.8498,0.87333,4.783,-0.85261,0.82817,0.19528,1.0045,-0.0887,150,151,148,149,148,151
4.2805,-1.8745,4.673,-1.0948,4.9085,0.85516,4.8409,-0.8306,0.83663,0.20973,0.08448,0.13545,150,151,148,149,148,151
3.6176,-2.8326,4.5946,-0.83933,4.9274,0.84594,4.863,-0.82169,0.81705,0.20696,0.4011,0.11447,150,151,148,149,148,151
3.3871,-4.3017,5.4752,-0.86584,4.9348,0.84234,4.8737,-0.81921,0.79541,0.20142,0.35865,-0.083401,150,151,148,149,148,151
3.1305,-4.2915,5.3119,-1.0061,4.9543,0.8602,4.8955,-0.83564,0.78031,0.20937,-0.062037,-0.071467,150.25,151,148,149,148,151
3.6089,-3.951,5.3511,-1.0088,4.9255,0.86089,4.8676,-0.8375,0.77122,0.20425,0.0364,0.08641,150.5,151,148,149,148,151
3.2004,-4.3304,5.3847,-0.83331,4.8843,0.87988,4.8069,-0.85674,0.88774,0.20544,-0.2818,0.29963,150.75,151,148,149,148,151
2.4043,-4.14,4.7875,-0.40951,4.8167,0.89905,4.7236,-0.87453,0.96582,0.21368,-0.11687,-0.095891,151,151,148,149,148,151
3.5073,-3.7725,5.151,-1.0251,4.7603,0.90795,4.662,-0.88302,0.98617,0.2165,0.4117,-0.2633,151,151.25,148,149,148,151
3.1767,-4.625,5.6109,-0.9361,4.7631,0.92136,4.6658,-0.89621,0.98157,0.21911,0.31588,0.254,151,151.5,148,149,148,151
3.1684,-4.8375,5.7828,-0.5171,4.8115,0.93866,4.7343,-0.91118,0.87983,0.23104,0.078032,0.22885,151,151.75,148,149,148,151
3.151,-4.83,5.7669,-0.4784,4.8324,0.9307,4.7559,-0.90399,0.87744,0.22685,-0.27202,-0.076519,151,152,148,149,148,151
2.7963,-4.43,5.2387,-0.67014,4.8752,0.93248,4.7966,-0.90548,0.89313,0.22827,-0.35001,-0.14808,151,152,148,148.75,147.75,151
2.2091,-4.56,5.0669,-0.77455,5.006,0.95401,4.9087,-0.92494,1.0068,0.23949,0.035542,-0.2389,151,152,148,148.5,147.5,151
3.3861,-4.09,5.3098,-1.1479,5.1283,0.97828,5.0043,-0.94642,1.1487,0.25373,-0.37864,-0.050018,151,152,148,148.25,147.25,151
2.5422,-3.48,4.3096,-0.87459,5.2067,0.98454,5.0716,-0.95218,1.2075,0.25651,-1.3125,0.043379,151,152,148,148,147,151
1.8427,-1.9525,2.6847,-1.0612,5.3178,0.97352,5.1641,-0.93992,1.3008,0.2598,-0.62319,-0.13519,150.75,152,148,148.25,147,151
2.7221,-1.405,3.0633,-1.145,5.4293,0.98768,5.2581,-0.95407,1.3861,0.26178,0.52692,0.012656,150.5,152,148,148.5,147,151
3.7386,0.0125,3.7386,-1.0359,5.5268,1.0104,5.3508,-0.98496,1.4178,0.23075,0.26418,0.037919,150.25,152,148,148.75,147,151
3.277,1.47,3.5916,-1.0691,5.4881,1.0111,5.3052,-0.98569,1.4397,0.2309,0.18143,-0.097929,150,152,148,149,147,151
3.5494,2.0552,4.1014,-1.2317,5.3848,1.0241,5.1717,-0.99805,1.5367,0.23502,0.64387,0.05492,150,152,147.75,149,147,151.25
3.8641,2.9794,4.8794,-0.95929,5.303,1.0596,5.0813,-1.0377,1.5547,0.21956,0.71359,0.052789,150,152,147.5,149,147,151.5
3.5892,4.2051,5.5286,-1.1262,5.1584,1.0874,4.8651,-1.0729,1.7571,0.18135,1.0338,-0.14435,150,152,147.25,149,147,151.75
4.9848,4.8387,6.947,-1.248,5.072,1.1102,4.7574,-1.0993,1.8018,0.15873,0.9774,-0.095397,150,152,147,149,147,152
4.852,5.6974,7.4834,-1.3169,4.9826,1.1432,4.6403,-1.1325,1.8596,0.16026,-0.11071,0.060453,150,151.75,147,149.25,147.25,152
4.1074,5.3257,6.7256,-1.1271,4.9492,1.1696,4.6069,-1.1546,1.8533,0.19152,-0.095259,0.28281,150,151.5,147,149.5,147.5,152
5.0854,5.2274,7.2929,-0.75133,4.9517,1.2049,4.6097,-1.1886,1.8528,0.20235,0.31715,-0.00162,150,151.25,147,149.75,147.75,152
5.3836,5.0185,7.3599,-1.1303,4.9925,1.2224,4.6708,-1.2058,1.8068,0.20624,-0.27961,-0.15346,150,151,147,150,148,152
