uav_u_wind,uav_v_wind,uav_uv_wind,uav_w_wind,mean_uav_uv_wind,mean_uav_w_wind,rms_uav_uv_wind,rms_uav_w_wind,std_uav_uv_wind,std_uav_w_wind,grad_uav_uv_wind,grad_uav_w_wind,m1,m2,m3,m4,m5,m6
2.8718,-10.601,10.983,-3.4215,6.4789,2.078,5.8652,-1.6925,2.8203,1.2354,1.3527,-1.0618,149.5,152,153,152.25,149.75,148.75
4.0438,-9.6442,10.458,-2.945,6.7432,2.0093,6.1689,-1.6124,2.7904,1.2285,-1.074,-0.12945,150,152,153,152,150,149
1.8834,-8.632,8.8351,-3.6804,7.0064,1.9874,6.3992,-1.5665,2.9235,1.2533,-3.7786,1.6422,150,151.75,152.75,151.5,149.75,148.75
1.344,-2.5703,2.9005,0.33938,7.1235,1.9087,6.4967,-1.4375,2.9938,1.2868,-2.7429,0.6788,150,151.5,152.5,151,149.5,148.5
2.4951,-2.2344,3.3493,-2.3228,7.5037,1.886,6.8236,-1.413,3.1985,1.2801,0.29073,-1.2626,150,151.25,152.25,150.5,149.25,148.25
3.4086,-0.71086,3.482,-2.1858,8.0502,1.8673,7.3181,-1.3922,3.4371,1.2752,-1.1379,0.67436,150,151,152,150,149,148
0.36827,1.0083,1.0735,-0.97406,8.6483,1.8583,7.8534,-1.3813,3.7114,1.2737,0.78317,-0.38972,149.75,151,151.75,150,148.75,148
1.3704,4.8587,5.0483,-2.9653,9.27,1.83,8.4052,-1.3038,4.0063,1.3158,2.0772,-0.52491,149.5,151,151.5,150,148.5,148
2.2148,4.7356,5.228,-2.0239,9.814,1.8378,8.832,-1.3593,4.3848,1.2674,0.51597,0.68947,149.25,151,151.25,150,148.25,148
1.0712,5.9851,6.0802,-1.5863,10.364,1.8444,9.2669,-1.3747,4.7556,1.26,2.4649,1.5096,149,151,151,150,148,148
3.1196,9.6668,10.158,0.99535,10.841,1.8382,9.6835,-1.3143,4.9936,1.317,1.4312,0.33641,149,151.25,151.25,150,147.75,147.75
2.8817,8.4656,8.9426,-0.9135,11.442,1.6851,10.115,-1.1804,5.4799,1.2322,0.058745,-0.73212,149,151.5,151.5,150,147.5,147.5
3.0329,9.8174,10.275,-0.4689,11.716,1.7165,10.359,-1.1975,5.6079,1.2601,0.28047,0.54023,149,151.75,151.75,150,147.25,147.25
1.3431,9.4082,9.5036,0.16696,12.189,1.5602,10.784,-1.1018,5.8216,1.1319,0.83197,-0.51746,149,152,152,150,147,147
5.4828,10.606,11.939,-1.5038,12.696,1.5867,11.433,-1.183,5.6561,1.0835,2.1419,-0.81801,148.75,152,151.75,150.25,147,147
5.3674,12.7,13.787,-1.4691,13.01,1.6342,11.914,-1.2122,5.3558,1.1232,1.5056,0.031108,148.5,152,151.5,150.5,147,147
5.0369,14.076,14.95,-1.4416,13.332,1.6407,12.405,-1.2169,5.0052,1.1277,1.0501,0.80516,148.25,152,151.25,150.75,147,147
5.7233,14.821,15.887,0.14124,13.635,1.7322,12.98,-1.3003,4.2793,1.1727,0.84694,0.29998,148,152,151,151,147,147
7.3646,14.926,16.644,-0.84163,13.764,1.6505,13.214,-1.2415,3.9447,1.1145,0.71969,-0.54387,147.5,152.25,151,151.5,146.75,147.25
8.2727,15.224,17.327,-0.9465,13.831,1.627,13.353,-1.2201,3.6926,1.103,-0.071226,0.64437,147,152.5,151,152,146.5,147.5
7.1832,14.856,16.502,0.4471,13.9,1.6213,13.482,-1.2139,3.467,1.1012,1.3616,0.16832,146.5,152.75,151,152.5,146.25,147.75
11.417,16.482,20.05,-0.60987,13.829,1.7297,13.372,-1.4012,3.6109,1.0393,-0.4662,-1.8757,146,153,151,153,146,148
9.4086,12.405,15.569,-3.3042,13.861,1.7387,13.419,-1.4158,3.5566,1.0342,-1.1388,-0.53021,145.5,153,150.75,153.25,145.75,148
9.2698,15.164,17.773,-1.6703,13.806,1.8262,13.338,-1.5174,3.6493,1.0413,0.48051,0.96871,145,153,150.5,153.5,145.5,148
8.2374,14.332,16.53,-1.3668,13.762,1.8535,13.27,-1.5949,3.7369,0.9676,-2.1622,-0.63209,144.5,153,150.25,153.75,145.25,148
6.3868,11.835,13.448,-2.9345,13.76,1.8456,13.268,-1.4622,3.7379,1.154,-1.369,-0.45916,144,153,150,154,145,148
7.6944,11.447,13.792,-2.2851,13.531,1.8189,12.977,-1.4071,3.9285,1.1809,-0.15239,0.10459,144.25,153.25,150.5,154.5,145.5,148.25
9.4573,9.1272,13.143,-2.7253,13.281,1.7926,12.698,-1.3524,3.9887,1.2056,-1.9092,0.27732,144.5,153.5,151,155,146,148.5
7.3562,6.7354,9.9739,-1.7305,12.981,1.8594,12.385,-1.4672,3.9839,1.1705,-2.4983,0.57572,144.75,153.75,151.5,155.5,146.5,148.75
6.6463,4.7112,8.1467,-1.5738,12.568,1.8722,11.947,-1.4894,3.9979,1.1624,-0.59816,0.13624,145,154,152,156,147,149
8.3003,2.8552,8.7776,-1.458,12.106,1.8745,11.493,-1.4937,3.8964,1.1605,-0.14637,-0.68113,145.25,154,152.25,156,147.25,149
6.8764,3.7947,7.8539,-2.9361,11.612,1.9298,10.952,-1.6173,3.954,1.0788,0.57316,0.11845,145.5,154,152.5,156,147.5,149
9.8728,1.0064,9.9239,-1.2211,10.858,1.9256,10.321,-1.58,3.4558,1.1278,0.36479,0.16725,145.75,154,152.75,156,147.75,149
8.2424,2.3959,8.5835,-2.6016,10.402,1.7855,9.8765,-1.4193,3.3451,1.1101,-0.92635,-0.12054,146,154,153,156,148,149
7.8486,-1.8826,8.0712,-1.4622,9.7543,1.7496,9.3376,-1.3561,2.8902,1.1327,1.6526,1.9428,146.5,153.75,153,155.5,148.25,149
10.762,-5.0514,11.889,1.284,9.1504,1.7249,8.8261,-1.3035,2.4741,1.1576,-0.1985,0.57448,147,153.5,153,155,148.5,149
5.9899,-4.7973,7.6742,-0.31324,8.6719,1.6241,8.2491,-1.2225,2.7409,1.0956,-1.3963,-0.78847,147.5,153.25,153,154.5,148.75,149
5.9323,-6.8955,9.0962,-0.2929,8.1846,1.5464,7.7927,-1.1247,2.5639,1.0876,0.81935,-0.97779,148,153,153,154,149,149
4.226,-8.2989,9.3129,-2.2688,7.7236,1.4361,7.373,-0.96067,2.3573,1.0939,-0.82586,-0.50726,148.5,153,153,153.5,149,149
4.0838,-6.2243,7.4444,-1.3074,7.7027,1.3884,7.3566,-0.89763,2.3394,1.0854,-0.7594,0.61634,149,153,153,153,149,149
3.501,-6.9636,7.7941,-1.0361,7.7544,1.427,7.4029,-0.92655,2.3653,1.1121,-1.1487,-0.42098,149.5,153,153,152.5,149,149
1.345,-4.9681,5.147,-2.1494,7.9234,1.4674,7.5334,-0.75517,2.5158,1.2893,-0.50145,0.60471,150,153,153,152,149,149
-0.33796,-6.7828,6.7912,0.17329,8.2059,1.3203,7.7568,-0.6193,2.7436,1.1948,0.54699,1.1098,150.25,153,153,151.75,149,149
-1.2882,-6.1065,6.2409,0.070217,8.2877,1.3008,7.8205,-0.53031,2.8111,1.2172,-0.16865,-0.25851,150.5,153,153,151.5,149,149
-1.704,-6.2249,6.4539,-0.34373,8.5201,1.1777,8.006,-0.43503,2.9869,1.1215,-0.22557,-0.16541,150.75,153,153,151.25,149,149
-2.0728,-5.406,5.7898,-0.26059,8.6325,1.1341,8.111,-0.35857,3.0279,1.1025,-2.5617,-0.44471,151,153,153,151,149,149
-1.2063,-0.56141,1.3306,-1.2331,8.5652,1.1108,8.06,-0.45495,2.9695,1.0383,-0.79059,0.013914,150.75,152.75,153,151,149.25,148.75
4.0939,0.97575,4.2086,-0.23277,8.6945,1.1359,8.1843,-0.49398,3.007,1.0481,1.4997,0.97645,150.5,152.5,153,151,149.5,148.5
3.7176,2.22,4.33,0.71975,8.7149,1.1804,8.2034,-0.55147,3.0143,1.0694,2.7105,-0.086936,150.25,152.25,153,151,149.75,148.25
7.6916,5.7937,9.6296,-0.40664,8.6997,1.1022,8.189,-0.49973,3.0095,1.0066,2.3941,-1.4504,150,152,153,151,150,148
7.9133,4.5299,9.1181,-2.1811,8.6585,1.2037,8.1372,-0.56006,3.0322,1.0918,0.94484,1.2738,149.75,151.75,152.75,151.25,150,148.25
7.2369,8.9622,11.519,2.1409,8.6702,1.2246,8.1499,-0.58031,3.0313,1.105,1.7129,1.0491,149.5,151.5,152.5,151.5,150,148.5
8.9249,8.8145,12.544,-0.08285,8.7408,1.189,8.2493,-0.5579,2.9613,1.0759,-0.12837,-0.74654,149.25,151.25,152.25,151.75,150,148.75
6.2656,9.3587,11.262,0.64786,8.7033,1.2626,8.1968,-0.65918,2.998,1.1034,-0.033034,-0.25896,149,151,152,152,150,149
7.5782,9.913,12.478,-0.60077,8.6787,1.3201,8.1603,-0.74675,3.0275,1.1155,-0.49283,-0.25219,148.75,151,151.75,152.25,149.75,149
3.3434,9.7178,10.277,0.14348,8.6449,1.3739,8.111,-0.81498,3.0649,1.1333,-0.82984,-0.069617,148.5,151,151.5,152.5,149.5,149
3.9653,10.065,10.818,-0.74,8.6405,1.432,8.1044,-0.89156,3.0703,1.1482,0.0036549,-0.6382,148.25,151,151.25,152.75,149.25,149
2.6161,9.9458,10.284,-1.1329,8.7567,1.419,8.3577,-0.87399,2.6778,1.1456,-0.66061,-0.3801,148,151,151,153,149,149
1.996,9.2849,9.497,-1.5002,8.7911,1.4264,8.4197,-0.82938,2.5906,1.1892,-0.63629,-0.024617,148,151,151.25,152.75,149,148.75
1.8614,8.8172,9.0116,-1.1822,8.7627,1.4686,8.3508,-0.94726,2.7208,1.15,-1.5707,-0.53713,148,151,151.5,152.5,149,148.5
-0.12127,6.3544,6.3556,-2.5745,8.5333,1.4992,8.0382,-0.99639,2.9352,1.1478,-0.47467,-0.13959,148,151,151.75,152.25,149,148.25
-0.10653,8.0615,8.0622,-1.4614,8.3627,1.423,7.8303,-0.87864,3.0085,1.147,0.4387,0.44787,148,151,152,152,149,148
-1.1814,7.1358,7.233,-1.6787,8.0604,1.3462,7.5357,-0.99693,2.9311,0.92704,-1.1869,-0.24609,148.25,151,152.25,151.75,149,148
-1.6523,5.4432,5.6884,-1.9535,7.6517,1.4004,7.1642,-1.0773,2.7537,0.91691,-0.87848,-0.044998,148.5,151,152.5,151.5,149,148
-2.7937,4.7098,5.476,-1.7687,7.3705,1.3981,6.9221,-1.1336,2.5942,0.83863,-0.1352,0.088444,148.75,151,152.75,151.25,149,148
-4.0637,3.5835,5.4181,-1.7767,7.0189,1.4022,6.6627,-1.1418,2.262,0.83398,0.08745,-0.050026,149,151,153,151,149,148
-4.5779,3.313,5.6509,-1.8688,6.8395,1.4194,6.5213,-1.1972,2.1127,0.78131,0.61602,0.45622,149.25,151,153,150.75,149,147.75
-6.4833,1.4801,6.6501,-0.86421,6.7438,1.4244,6.4572,-1.2058,1.9929,0.777,-0.070462,1.2865,149.5,151,153,150.5,149,147.5
-5.0449,2.2156,5.51,0.70418,6.7956,1.4065,6.4902,-1.174,2.0639,0.79363,-1.8837,-0.44581,149.75,151,153,150.25,149,147.25
-2.8719,0.2501,2.8828,-1.7558,6.9479,1.3691,6.5896,-1.1152,2.257,0.81374,-1.2222,-1.0712,150,151,153,150,149,147
-2.5961,1.6301,3.0655,-1.4382,7.0755,1.3556,6.6794,-1.0212,2.3918,0.91348,0.93541,1.0237,150.25,151,153,149.75,149,146.75
-1.8837,4.3644,4.7536,0.29154,7.4127,1.2412,6.9462,-0.9283,2.6521,0.84421,1.1334,0.54752,150.5,151,153,149.5,149,146.5
-4.6241,2.6556,5.3323,-0.3432,7.5595,1.2084,7.0644,-0.89057,2.7575,0.83687,-0.0056408,-1.0307,150.75,151,153,149.25,149,146.25
-2.2045,4.1988,4.7423,-1.7699,7.7133,1.1645,7.2,-0.84854,2.8351,0.81725,0.42232,-0.095739,151,151,153,149,149,146
-0.38829,6.1648,6.177,-0.53467,7.8131,1.0847,7.3128,-0.7453,2.8191,0.80755,1.1444,0.49829,151,150.75,153,148.75,149,146
0.60671,7.005,7.0312,-0.77327,7.9878,1.0307,7.4986,-0.70173,2.8205,0.77354,0.56551,-0.24298,151,150.5,153,148.5,149,146
2.1132,6.9958,7.308,-1.0206,8.1032,0.96853,7.6342,-0.65236,2.7837,0.73356,1.2207,-0.073691,151,150.25,153,148.25,149,146
4.1484,8.5159,9.4726,-0.92065,8.1285,0.87905,7.6684,-0.5566,2.7625,0.69718,1.8346,0.27783,151,150,153,148,149,146
4.4538,10.033,10.977,-0.46498,8.1542,0.90019,7.6985,-0.57448,2.7543,0.71016,1.0552,0.32761,150.5,150.25,153,148.5,148.75,146
3.8403,10.928,11.583,-0.26543,8.1752,0.9542,7.728,-0.68479,2.7329,0.68091,-0.039349,0.62823,150,150.5,153,149,148.5,146
1.7956,10.749,10.898,0.79147,8.2584,1.0798,7.8804,-0.73959,2.5309,0.80623,0.1873,-0.17865,149.5,150.75,153,149.5,148.25,146
4.4357,11.104,11.958,-0.62274,8.3136,1.0791,7.989,-0.739,2.3569,0.80569,-0.17739,-0.73024,149,151,153,150,148,146
4.1451,9.6946,10.544,-0.669,8.303,1.1487,7.9697,-0.83995,2.3863,0.80292,-0.93836,-0.086678,148.75,151.25,152.75,150,147.5,146.25
3.7662,9.3509,10.081,-0.7961,8.2486,1.3624,7.8628,-0.98428,2.5546,0.96519,-1.2432,0.44172,148.5,151.5,152.5,150,147,146.5
