tower_u_wind,tower_v_wind,tower_uv_wind,tower_w_wind,mean_tower_uv_wind,mean_tower_w_wind,rms_tower_uv_wind,rms_tower_w_wind,std_tower_uv_wind,std_tower_w_wind,grad_tower_uv_wind,grad_tower_w_wind
-3.1816,2.3472,3.9537,0.03,4.0868,0.19658,4.0846,-0.16636,0.14202,0.10984,0.17791,-0.27
-2.5549,3.247,4.1316,-0.24,4.0677,0.19251,4.0651,-0.16417,0.15127,0.10501,0.14313,-0.025
-2.8645,3.1261,4.24,-0.02,4.0492,0.18504,4.0463,-0.15308,0.15999,0.1082,0.12046,0
-3.0629,3.1206,4.3726,-0.24,4.0306,0.1886,4.0273,-0.15857,0.16939,0.10596,-0.044512,0
-2.8701,2.9989,4.151,-0.02,4.0079,0.22183,4.0038,-0.11533,0.1868,0.19614,-0.21626,0.03
-2.6766,2.8914,3.9401,-0.18,3.9614,0.29348,3.9526,-0.058125,0.27299,0.2971,-0.014123,-0.13
-2.894,2.9362,4.1227,-0.28,3.9399,0.28674,3.9306,-0.046471,0.27949,0.29165,0.06059,-0.035
-2.8166,2.9258,4.0612,-0.25,3.909,0.28434,3.8977,-0.030556,0.30485,0.29089,-0.024983,0.015
-2.8602,2.8994,4.0728,-0.25,3.8673,0.30708,3.8516,0.0015789,0.35808,0.31549,-0.029016,0.025
-2.8203,2.841,4.0032,-0.2,3.8238,0.34309,3.8027,0.039,0.41148,0.34972,-0.095602,0.035
-2.7024,2.7863,3.8816,-0.18,3.7894,0.38171,3.7655,0.077143,0.43571,0.38307,-0.076073,0.03
-2.6674,2.7777,3.8511,-0.14,3.7574,0.43964,3.7319,0.12333,0.44753,0.4324,-0.030779,0.08
-2.5808,2.8164,3.82,-0.02,3.7213,0.48046,3.6959,0.17857,0.44415,0.45706,-0.035526,-0.045
-2.5537,2.7869,3.78,-0.23,3.6767,0.51579,3.6523,0.22048,0.43288,0.47781,-0.072277,0.255
-2.332,2.8409,3.6754,0.49,3.619,0.5518,3.5968,0.27619,0.41003,0.4895,-0.29775,0.515
-2.6553,1.758,3.1845,0.8,3.5769,0.60087,3.5561,0.32905,0.3944,0.51518,-0.048694,-0.175
-3.1768,1.6463,3.5781,0.14,3.5384,0.63441,3.5174,0.38286,0.39469,0.51835,0.077484,-0.28
-2.9311,1.6002,3.3395,0.24,3.4925,0.6681,3.4733,0.44381,0.37493,0.51173,-0.27852,0.22
-2.6781,1.398,3.021,0.58,3.4496,0.69805,3.4322,0.50143,0.35395,0.49763,-0.23305,0.255
-2.562,1.3009,2.8734,0.75,3.4028,0.73064,3.3878,0.5619,0.3271,0.47855,0.0006867,0.13
-2.5478,1.6259,3.0224,0.84,3.35,0.80122,3.3363,0.64381,0.31001,0.48871,0.18724,0.125
-2.7333,1.7543,3.2478,1,3.3316,0.83803,3.3197,0.70667,0.28793,0.46159,0.17689,0.04
-2.8285,1.8434,3.3762,0.92,3.3138,0.8509,3.3037,0.74619,0.26532,0.41904,0.038072,-0.07
-2.8789,1.6616,3.324,0.86,3.3023,0.85993,3.2934,0.77429,0.24797,0.38336,-0.084556,0.005
-2.7751,1.6075,3.2071,0.93,3.2847,0.87518,3.2774,0.82238,0.22475,0.30677,-0.014011,0.115
-2.8433,1.6671,3.296,1.09,3.2757,0.88195,3.2691,0.83238,0.21222,0.29871,-0.039654,0.01
-2.8452,1.2991,3.1277,0.95,3.2882,0.87571,3.2816,0.82476,0.21465,0.30161,-0.049782,-0.045
-2.8531,1.441,3.1964,1,3.2861,0.89285,3.2796,0.85667,0.21195,0.2578,0.035509,0.005
